codigo_postal;nombre
01001;Vitoria-Gasteiz
01007;Armentia
01010;Ehari/Ali
01012;Salinillas de Buradon/Gat
01013;Abetxuko
01110;Santa Cruz de Campezo
01117;Orbiso
01118;Angostina
01120;Maeztu/Maestu
01128;Quintana
01129;Apellaniz/Apinaiz
01130;Murgia
01138;Acosta/Okoizta
01139;Altube
01160;Ibarra
01165;Oleta
01169;Arexola
01170;Elosu
01171;Goiain
01191;Asteguieta
01192;Añua
01193;Egileta
01194;Izartza
01195;Ariñiz/Ariñez
01196;Etxabarri Ibiña
01200;Salvatierra O Agurain
01206;Audikana
01207;Alaitza
01208;Albeiz/Albéniz
01211;Lacorzana
01212;Santa Cruz del Fierro
01213;San Miguel
01216;Arluzea
01220;Armiñon
01230;Nanclares de la Oca
01240;Alegria-Dulantzi
01250;Araia
01260;Andoin
01300;Campillar (El)
01306;Lapuebla de Labarca
01307;Baños de Ebro
01308;Kripan
01309;Elvillar
01320;Oyon-Oion
01321;Laserna
01322;Moreda de Álava/Moreda Ar
01330;Labastida
01340;Elciego
01400;Laudio/Llodio
01408;Luiaondo
01409;Irabien
01420;Arbigano
01423;Villambrosa
01426;Arreo
01427;Acebedo
01428;Anuntzeta/Anucita
01430;Zuhatzu-Kuartango
01439;Anda
01440;Izarra
01449;Abezia
01450;Baranbio
01468;Aloria
01470;Amurrio
01474;Artziniega
01476;Arespalditza/Respaldiza
01477;Añes
01478;Campijo
01479;Agiñaga
01510;Betolaza
01520;Arroiabe
02001;Albacete
02049;Aguas Nuevas
02100;Tarazona de la Mancha
02110;Gineta (La)
02120;Peñas de San Pedro
02124;Alcadozo
02125;Ayna
02126;Moriscote
02127;Casa Cañete
02128;Molata (La)
02129;Campillo de la Virgen
02130;Bogarra
02136;Casa Nueva
02137;Batan del Puerto
02138;Altico (El)
02139;Dehesa (La)
02140;Anguijes (Los)
02141;Nava de Abajo
02142;Mullidar
02150;Valdeganga
02151;Casas de Juan Nuñez
02152;Alatoz
02153;Carcelen
02154;Pozo-Lorente
02155;Tinajeros
02156;Chinchilla de Monte-Arago
02160;Lezuza
02161;Tiriez
02162;Herrera (La)
02170;Bollullos Par del Condado
02200;Casas-Ibañez
02210;Alcala del Jucar
02211;Casas del Cerro
02212;Casas de Ves
02213;Pared (La)
